id_veicolo,commerciale,eta_approx,genere
22797,N,63,F
22798,N,57,F
22799,N,48,F
22800,N,55,M
22801,N,29,F
22802,N,64,M
22803,N,62,F
22804,N,75,M
22805,N,67,M
22806,N,82,F
22807,N,31,M
22808,N,89,M
22809,N,52,F
22810,N,44,F
22811,N,37,M
22812,N,39,F
22813,N,67,F
22814,N,52,M
22815,N,73,F
22816,N,70,M
22817,N,66,F
22818,N,28,F
22819,N,61,F
22820,N,44,F
22821,N,71,M
22822,N,26,M
22823,N,50,M
22824,S,0,_
22825,N,84,M
22826,N,59,F
22827,N,45,M
22828,N,65,M
22829,N,32,F
22830,N,58,M
22831,N,76,F
